ip,classification,Harmless,Malicious,Suspicious,ASN
59.151.17.93,malicious,61,5,2,56048
59.152.251.30,malicious,61,6,0,9381
59.174.245.140,malicious,64,1,1,4134
59.18.150.155,malicious,53,14,0,4766
59.20.113.111,malicious,63,3,1,4766
59.20.181.9,malicious,64,1,0,4766
59.2.60.60,malicious,59,9,1,4766
59.24.186.249,malicious,61,5,1,4766
59.27.138.121,malicious,48,18,1,4766
59.28.2.21,malicious,58,9,0,4766
59.29.145.37,malicious,53,15,1,4766
59.31.131.29,malicious,57,8,2,4766
59.35.200.78,malicious,63,4,0,4134
59.36.170.136,malicious,57,8,2,4134
59.36.80.166,malicious,58,5,2,4134
59.37.126.217,malicious,60,5,1,4134
59.37.171.168,malicious,55,12,2,4134
59.38.100.118,malicious,64,2,1,4134
59.4.126.212,malicious,54,15,1,4766
59.4.9.69,malicious,49,18,0,4766
59.42.40.241,malicious,62,3,1,4134
59.42.41.183,malicious,62,5,1,4134
59.42.88.13,malicious,64,1,1,4134
59.42.89.18,malicious,65,0,1,4134
59.44.46.206,malicious,57,10,0,4134
59.46.13.18,malicious,60,6,1,4134
59.46.72.61,malicious,63,3,2,4134
59.47.78.237,malicious,63,2,2,4134
59.49.185.149,malicious,61,6,1,4134
59.49.78.151,malicious,62,6,1,4134
59.51.8.91,malicious,64,1,1,4134
59.53.86.120,malicious,60,5,2,139201
59.55.128.147,malicious,60,6,1,4134
59.56.226.180,malicious,59,8,0,4134
59.60.252.11,malicious,65,0,1,4134
59.61.164.12,malicious,63,3,1,4134
59.89.156.35,malicious,62,1,0,9829
59.9.62.134,malicious,60,5,2,4766
59.92.193.253,malicious,64,1,1,9829
59.92.248.142,malicious,65,1,0,9829
59.92.248.177,malicious,62,3,1,9829
59.93.211.226,malicious,64,1,1,9829
59.93.211.241,malicious,64,1,1,9829
59.95.36.240,malicious,64,1,1,9829
60.10.181.157,malicious,62,5,0,4837
60.10.57.154,malicious,62,3,0,4837
60.10.63.254,malicious,64,1,1,4837
60.154.87.110,malicious,60,8,1,17676
60.16.16.244,malicious,63,3,2,4837
60.164.134.61,malicious,64,3,1,4134
60.166.159.156,malicious,58,11,1,4134
60.167.177.35,malicious,58,9,1,140527
60.167.56.156,malicious,61,6,0,4134
60.167.71.8,malicious,61,6,0,4134
60.170.212.20,malicious,63,1,0,4134
60.172.131.18,malicious,63,3,2,4134
60.172.8.136,malicious,62,6,0,4134
60.173.37.126,malicious,59,8,1,4134
60.174.249.202,malicious,59,7,2,4134
60.175.121.123,malicious,61,5,1,4134
60.181.67.14,malicious,64,1,1,4134
60.183.196.38,malicious,63,2,1,4134
60.188.49.27,malicious,63,3,2,4134
60.190.232.202,malicious,59,8,0,4134
60.191.125.35,malicious,57,10,0,4134
60.191.137.103,malicious,64,2,2,58461
60.204.129.227,malicious,64,1,1,55990
