ip,classification,Harmless,Malicious,Suspicious
8.141.158.188,malicious,61,3,1
8.141.81.63,malicious,62,1,1
8.141.82.167,malicious,63,1,1
8.141.91.249,malicious,0,0,0
8.142.101.244,malicious,61,7,1
8.142.105.206,malicious,64,2,0
8.142.106.166,malicious,58,7,1
8.142.120.243,malicious,58,8,2
8.142.128.251,malicious,0,0,0
8.142.131.98,malicious,61,6,1
8.142.132.221,malicious,59,6,2
8.142.150.163,malicious,0,0,0
8.142.152.137,malicious,59,5,1
8.142.153.5,malicious,61,4,0
8.142.172.115,malicious,61,4,1
8.142.178.14,malicious,61,5,1
8.142.178.141,malicious,60,6,0
8.142.22.157,malicious,65,1,1
8.208.10.94,malicious,63,6,1
8.208.20.114,malicious,57,10,1
8.208.21.180,malicious,60,8,2
8.208.23.199,malicious,63,5,2
8.208.25.255,malicious,62,6,1
8.208.26.117,malicious,62,6,1
8.208.80.181,malicious,57,13,1
8.208.81.105,malicious,58,8,1
8.208.81.165,malicious,56,13,1
8.208.82.33,malicious,59,8,1
8.208.82.59,malicious,58,8,2
8.209.102.145,malicious,60,8,1
8.209.104.126,malicious,59,9,2
8.209.115.198,malicious,55,14,1
8.209.119.3,malicious,56,11,1
8.209.217.228,malicious,57,11,1
8.209.217.55,malicious,56,12,1
8.209.218.140,malicious,63,5,1
8.209.218.156,malicious,59,7,2
8.209.218.167,malicious,56,13,2
8.209.218.31,malicious,57,9,1
8.209.240.183,malicious,58,10,1
8.209.241.138,malicious,53,14,1
8.209.252.106,malicious,57,10,1
8.209.254.176,malicious,57,11,1
8.209.69.51,malicious,57,10,2
8.209.75.51,malicious,63,5,2
8.209.96.179,malicious,63,4,0
8.209.98.117,malicious,60,8,2
8.209.98.48,malicious,57,13,1
8.209.98.69,malicious,58,8,1
8.210.0.218,malicious,65,0,1
8.210.103.230,malicious,65,1,0
8.210.105.62,malicious,57,10,1
8.210.111.118,malicious,0,0,0
8.210.119.5,malicious,64,3,0
8.210.123.17,malicious,61,8,0
8.210.132.94,malicious,59,8,0
8.210.136.196,malicious,60,9,1
8.210.155.209,malicious,63,1,1
8.210.169.78,malicious,0,0,0
8.210.175.151,malicious,65,1,1
8.210.20.198,malicious,58,10,1
8.210.202.156,malicious,64,2,0
8.210.220.40,malicious,60,6,0
8.210.228.83,malicious,60,9,0
8.210.229.216,malicious,59,5,2
8.210.23.247,malicious,64,3,0
8.210.250.57,malicious,63,5,1
8.210.251.203,malicious,61,4,1
8.210.33.57,malicious,0,0,0
8.210.53.198,malicious,64,3,2
8.210.68.19,malicious,61,8,1
8.210.97.247,malicious,62,7,0
8.21.230.196,malicious,60,4,0
8.217.108.150,malicious,58,10,1
8.217.111.169,malicious,58,9,1
8.217.118.248,malicious,58,12,2
8.217.121.16,malicious,63,4,1
8.217.122.113,malicious,56,11,2
8.217.127.212,malicious,58,9,2
8.217.141.202,malicious,0,0,0
8.217.144.177,malicious,60,6,2
8.217.4.218,malicious,62,3,2
8.217.81.85,malicious,0,0,0
8.217.82.244,malicious,59,8,0
8.218.102.112,malicious,62,5,1
8.218.103.110,malicious,0,0,0
8.218.107.97,malicious,66,1,0
8.218.12.243,malicious,62,3,0
8.218.123.84,malicious,60,9,1
8.218.130.20,malicious,0,0,0
8.218.131.110,malicious,60,8,1
8.218.132.187,malicious,58,8,1
8.218.137.51,malicious,64,1,1
8.218.140.118,malicious,62,3,2
8.218.140.140,malicious,63,1,1
8.218.140.15,malicious,58,8,2
8.218.149.37,malicious,60,8,1
8.218.150.189,malicious,60,5,1
8.218.156.40,malicious,64,3,1
8.218.157.128,malicious,0,0,0
8.218.160.185,malicious,60,4,2
8.218.160.92,malicious,59,10,2
8.218.169.190,malicious,0,0,0
8.218.172.89,malicious,0,0,0
8.218.175.194,malicious,63,3,1
8.218.185.149,malicious,0,0,0
8.218.191.114,malicious,64,3,1
8.218.191.140,malicious,63,1,1
8.218.193.58,malicious,62,6,1
8.218.198.21,malicious,61,9,0
8.218.202.98,malicious,64,1,1
8.218.226.14,malicious,63,4,2
8.218.226.34,malicious,65,3,1
8.218.227.234,malicious,64,1,1
8.218.235.111,malicious,64,3,1
8.218.244.13,malicious,64,4,2
8.218.245.103,malicious,56,13,3
8.218.245.204,malicious,61,4,1
8.218.248.49,malicious,59,8,1
8.218.253.168,malicious,0,0,0
8.218.30.210,malicious,60,4,2
8.218.34.44,malicious,61,9,1
8.218.47.92,malicious,63,3,1
8.218.64.106,malicious,61,5,1
8.218.7.240,malicious,64,1,1
8.218.86.24,malicious,60,0,0
8.219.101.85,malicious,63,5,1
8.219.133.84,malicious,56,12,1
8.219.148.246,malicious,64,3,3
8.219.151.97,malicious,63,4,3
8.219.162.12,malicious,64,4,2
8.219.162.150,malicious,63,2,0
8.219.174.17,malicious,0,0,0
8.219.185.79,malicious,62,7,1
8.219.211.146,malicious,0,0,0
8.219.211.183,malicious,0,0,0
8.219.234.194,malicious,52,16,2
8.219.236.40,malicious,0,0,0
8.219.239.183,malicious,0,0,0
8.219.247.219,malicious,64,1,1
8.219.254.156,malicious,64,3,0
8.219.255.221,malicious,0,0,0
8.219.52.40,malicious,0,0,0
8.219.53.199,malicious,63,1,1
8.219.59.31,malicious,64,4,2
8.219.67.124,malicious,60,8,1
8.219.83.131,malicious,63,3,3
8.222.129.9,malicious,63,4,0
8.222.131.232,malicious,64,1,2
8.222.132.117,malicious,62,5,0
8.222.133.72,malicious,64,2,0
8.222.140.45,malicious,0,0,0
8.222.145.65,malicious,57,13,1
8.222.147.0,malicious,0,0,0
8.222.154.105,malicious,61,6,0
8.222.161.183,malicious,0,0,0
8.222.162.120,malicious,0,0,0
8.222.164.106,malicious,0,0,0
8.222.169.239,malicious,53,15,2
8.222.179.252,malicious,63,4,0
8.222.181.21,malicious,65,1,0
8.222.200.35,malicious,63,3,1
8.222.223.231,malicious,60,8,2
8.222.227.43,malicious,59,9,2
12.127.35.138,malicious,63,2,0
12.51.171.158,malicious,61,7,1
13.115.114.169,malicious,62,3,1
13.213.3.41,malicious,63,0,0
13.232.147.91,malicious,65,1,0
13.37.241.157,malicious,61,5,1
13.40.123.118,malicious,58,10,1
13.40.123.180,malicious,0,0,0
13.40.123.241,malicious,0,0,0
13.40.127.161,malicious,61,7,1
13.40.129.101,malicious,0,0,0
13.40.148.136,malicious,0,0,0
13.40.162.241,malicious,0,0,0
13.40.162.7,malicious,0,0,0
13.40.17.58,malicious,65,1,0
13.40.176.249,malicious,0,0,0
13.40.178.136,malicious,0,0,0
13.40.18.97,malicious,0,0,0
13.40.18.98,malicious,57,11,0
13.40.24.56,malicious,59,9,2
13.40.24.62,malicious,0,0,0
13.40.30.151,malicious,0,0,0
13.40.3.113,malicious,0,0,0
13.40.31.47,malicious,0,0,0
13.40.3.71,malicious,60,0,0
13.40.4.73,malicious,0,0,0
13.40.56.172,malicious,0,0,0
13.40.67.158,malicious,0,0,0
13.40.67.206,malicious,0,0,0
13.40.70.250,malicious,0,0,0
13.40.7.128,malicious,60,5,1
13.40.8.71,malicious,0,0,0
13.40.87.1,malicious,0,0,0
13.40.9.104,malicious,0,0,0
13.40.95.98,malicious,0,0,0
13.40.96.108,malicious,0,0,0
13.40.96.76,malicious,0,0,0
13.40.97.36,malicious,0,0,0
13.40.98.16,malicious,0,0,0
13.72.36.174,malicious,61,4,1
13.79.27.146,malicious,65,1,0
13.80.125.178,malicious,62,4,1
14.105.62.122,malicious,61,2,0
14.115.89.24,malicious,0,0,0
14.116.155.98,malicious,55,10,1
14.116.220.100,malicious,62,5,1
14.136.84.254,malicious,64,1,1
14.141.155.198,malicious,59,6,2
14.143.168.6,malicious,58,7,2
14.153.132.48,malicious,0,0,0
14.160.26.239,malicious,62,3,0
14.161.12.98,malicious,0,0,0
14.161.69.169,malicious,65,1,0
14.161.71.241,malicious,62,5,0
14.162.241.238,malicious,63,1,0
14.162.34.116,malicious,0,0,0
14.162.75.147,malicious,0,0,0
14.163.245.202,malicious,61,6,1
14.163.75.163,malicious,64,1,0
14.163.81.194,malicious,0,0,0
14.166.183.39,malicious,0,0,0
14.166.84.241,malicious,0,0,0
14.169.226.25,malicious,0,0,0
14.169.235.15,malicious,0,0,0
14.171.134.141,malicious,63,2,0
14.171.21.59,malicious,0,0,0
14.177.234.204,malicious,61,4,1
14.178.14.240,malicious,0,0,0
14.178.225.106,malicious,63,3,0
14.178.234.24,malicious,0,0,0
14.178.26.232,malicious,64,2,0
14.179.92.172,malicious,0,0,0
14.180.122.167,malicious,0,0,0
14.18.87.25,malicious,60,7,1
14.181.10.168,malicious,0,0,0
14.181.200.69,malicious,0,0,0
14.181.72.199,malicious,0,0,0
14.184.112.7,malicious,0,0,0
14.185.19.134,malicious,0,0,0
14.189.134.148,malicious,0,0,0
14.190.134.106,malicious,0,0,0
14.190.23.12,malicious,64,0,1
14.190.251.199,malicious,0,0,0
14.190.41.230,malicious,0,0,0
14.192.247.208,malicious,0,0,0
14.198.134.92,malicious,64,1,1
14.198.61.4,malicious,63,2,1
14.204.23.132,malicious,62,3,1
14.207.113.102,malicious,0,0,0
14.21.40.29,malicious,61,4,1
14.212.195.29,malicious,0,0,0
14.212.27.239,malicious,0,0,0
14.215.47.78,malicious,59,6,2
14.215.51.69,malicious,63,3,2
14.216.30.48,malicious,0,0,0
14.22.81.1,malicious,59,8,1
14.22.81.17,malicious,59,6,2
14.225.217.16,malicious,63,4,0
14.225.245.139,malicious,56,14,1
14.225.252.238,malicious,57,13,1
14.225.252.51,malicious,59,9,0
14.226.23.179,malicious,64,2,0
14.228.199.37,malicious,0,0,0
14.229.98.22,malicious,0,0,0
14.230.114.184,malicious,61,6,0
14.230.191.104,malicious,0,0,0
14.232.35.194,malicious,0,0,0
14.233.182.41,malicious,0,0,0
14.234.100.250,malicious,64,1,0
14.235.136.247,malicious,60,4,1
14.235.162.50,malicious,0,0,0
14.235.255.183,malicious,0,0,0
14.238.39.90,malicious,60,5,1
14.239.129.73,malicious,0,0,0
14.239.144.55,malicious,0,0,0
14.241.241.199,malicious,62,5,0
14.241.99.37,malicious,63,2,0
14.244.11.65,malicious,63,1,0
14.251.121.113,malicious,0,0,0
14.251.42.63,malicious,0,0,0
14.254.136.200,malicious,0,0,0
14.255.70.187,malicious,0,0,0
14.29.208.189,malicious,62,4,0
14.39.169.205,malicious,60,9,1
14.42.250.163,malicious,62,2,1
14.43.231.49,malicious,53,15,1
14.45.187.92,malicious,61,4,3
14.46.177.149,malicious,61,3,2
14.46.200.176,malicious,64,1,0
14.48.58.180,malicious,52,15,2
14.49.119.88,malicious,54,14,0
14.49.140.56,malicious,62,2,1
14.52.210.3,malicious,62,3,2
14.52.210.76,malicious,54,15,0
14.53.134.163,malicious,50,17,1
14.54.38.9,malicious,61,3,1
14.56.76.82,malicious,56,11,1
14.63.84.223,malicious,63,1,1
14.7.246.178,malicious,60,5,2
14.98.44.222,malicious,0,0,0
14.99.34.115,malicious,60,4,1
15.188.82.39,malicious,0,0,0
15.204.42.56,malicious,63,4,0
15.235.154.222,malicious,0,0,0
18.130.102.186,malicious,0,0,0
18.130.107.104,malicious,0,0,0
18.130.13.121,malicious,0,0,0
18.130.143.126,malicious,59,0,0
18.130.148.211,malicious,0,0,0
18.130.160.61,malicious,0,0,0
18.130.206.118,malicious,64,1,0
18.130.212.139,malicious,0,0,0
18.130.21.58,malicious,66,0,0
18.130.232.63,malicious,0,0,0
18.130.235.211,malicious,0,0,0
18.130.241.227,malicious,0,0,0
18.130.245.206,malicious,0,0,0
18.130.25.28,malicious,0,0,0
18.130.31.225,malicious,61,8,1
18.130.35.65,malicious,0,0,0
18.130.42.222,malicious,0,0,0
18.132.195.18,malicious,0,0,0
18.132.207.236,malicious,0,0,0
18.132.2.223,malicious,0,0,0
18.132.41.70,malicious,60,8,0
18.132.98.151,malicious,0,0,0
18.133.181.72,malicious,0,0,0
18.133.240.233,malicious,0,0,0
18.133.243.249,malicious,59,9,0
18.133.246.111,malicious,61,8,1
18.134.151.219,malicious,0,0,0
18.134.196.9,malicious,0,0,0
18.134.246.89,malicious,59,9,2
18.135.102.154,malicious,0,0,0
18.135.104.89,malicious,57,10,2
18.135.16.36,malicious,0,0,0
18.135.5.140,malicious,0,0,0
18.135.97.127,malicious,0,0,0
18.135.98.59,malicious,0,0,0
18.163.99.109,malicious,66,1,0
18.169.158.75,malicious,0,0,0
18.169.166.30,malicious,58,10,0
18.169.166.90,malicious,60,6,1
18.170.214.144,malicious,0,0,0
18.170.222.201,malicious,0,0,0
18.170.227.206,malicious,0,0,0
18.170.230.113,malicious,0,0,0
18.170.39.249,malicious,0,0,0
18.170.58.241,malicious,0,0,0
18.170.60.142,malicious,0,0,0
18.170.60.38,malicious,0,0,0
18.170.60.63,malicious,0,0,0
18.170.62.221,malicious,63,2,0
18.170.78.50,malicious,0,0,0
18.173.219.120,malicious,67,0,0
18.182.254.190,malicious,0,0,0
18.194.147.142,malicious,65,1,0
18.216.96.240,malicious,0,0,0
20.11.0.160,malicious,0,0,0
20.12.5.182,malicious,0,0,0
20.124.14.87,malicious,0,0,0
20.163.9.153,malicious,63,2,0
20.187.74.126,malicious,0,0,0
20.203.230.172,malicious,64,3,0
20.203.49.27,malicious,64,3,0
20.205.164.16,malicious,59,6,1
20.210.91.189,malicious,64,2,0
20.216.18.171,malicious,0,0,0
20.219.254.196,malicious,66,1,0
20.223.168.112,malicious,62,5,1
20.226.23.101,malicious,65,1,0
20.229.180.254,malicious,66,1,0
20.231.1.80,malicious,59,6,1
20.24.45.126,malicious,62,5,1
20.24.45.249,malicious,63,4,0
20.243.185.220,malicious,0,0,0
20.39.199.21,malicious,63,4,0
20.77.243.181,malicious,0,0,0
20.83.164.213,malicious,0,0,0
20.89.62.52,malicious,61,5,1
23.106.58.33,malicious,63,2,2
