ip,classification,Harmless,Malicious,Suspicious
202.51.88.176,Unknown,58,0,0
117.215.234.17,Unknown,0,0,0
3.80.179.152,Unknown,0,0,0
188.166.83.222,Unknown,0,0,0
139.59.77.147,Unknown,57,11,0
117.202.213.127,Unknown,0,0,0
79.24.63.83,Unknown,0,0,0
195.133.61.214,Unknown,0,0,0
151.241.93.57,Unknown,0,0,0
151.247.19.32,Unknown,0,0,0
199.247.26.190,Unknown,0,0,0
77.79.170.76,Unknown,0,0,0
117.252.171.181,Unknown,0,0,0
83.243.166.195,Unknown,56,10,0
182.126.83.245,Unknown,63,2,0
91.217.77.164,Unknown,63,1,0
93.117.5.228,Unknown,63,0,0
80.47.222.62,Unknown,0,0,0
187.192.45.140,Unknown,0,0,0
27.47.0.214,Unknown,62,1,0
61.52.61.160,Unknown,63,1,0
85.18.87.101,Unknown,64,1,1
117.196.50.183,Unknown,55,10,0
88.109.178.13,Unknown,0,0,0
88.107.184.195,Unknown,0,0,0
31.188.235.203,Unknown,0,0,0
209.38.226.24,Unknown,63,2,1
179.43.183.210,Unknown,59,5,2
151.245.8.94,Unknown,0,0,0
85.18.30.133,Unknown,65,0,1
181.236.179.221,Unknown,0,0,0
59.89.161.118,Unknown,0,0,0
94.64.216.230,Unknown,0,0,0
186.33.113.213,Unknown,0,0,0
36.73.34.194,Unknown,0,0,0
123.12.228.4,Unknown,60,7,0
59.178.60.234,Unknown,0,0,0
181.113.120.70,Unknown,64,3,0
156.155.163.100,Unknown,0,0,0
151.241.64.138,Unknown,0,0,0
41.139.249.227,Unknown,61,2,1
31.58.243.46,Unknown,0,0,0
142.93.218.102,Unknown,61,6,0
125.160.224.30,Unknown,0,0,0
178.34.119.29,Unknown,0,0,0
61.0.99.9,Unknown,0,0,0
117.245.169.118,Unknown,0,0,0
200.109.27.128,Unknown,0,0,0
85.18.0.136,Unknown,64,1,1
87.6.136.156,Unknown,0,0,0
2.182.151.110,Unknown,0,0,0
61.53.204.205,Unknown,57,10,0
87.107.66.1,Unknown,0,0,0
47.99.53.8,Unknown,0,0,0
5.254.18.236,Unknown,62,2,0
63.88.73.10,Unknown,65,0,1
138.255.222.110,Unknown,63,3,0
151.38.100.132,Unknown,0,0,0
39.103.194.15,Unknown,58,9,0
193.35.18.244,Unknown,57,9,1
59.45.143.3,Unknown,58,6,2
59.182.44.159,Unknown,0,0,0
87.0.251.36,Unknown,0,0,0
95.38.166.68,Unknown,0,0,0
63.250.56.94,Unknown,62,3,2
95.245.166.28,Unknown,0,0,0
84.2.173.241,Unknown,0,0,0
117.201.90.69,Unknown,0,0,0
117.214.253.201,Unknown,0,0,0
218.164.182.182,Unknown,0,0,0
2.187.22.210,Unknown,0,0,0
82.55.116.87,Unknown,0,0,0
209.131.254.132,Unknown,65,0,1
117.196.125.163,Unknown,0,0,0
45.248.8.155,Unknown,62,3,2
95.250.174.17,Unknown,0,0,0
186.193.243.141,Unknown,0,0,0
176.241.18.33,Unknown,0,0,0
5.91.98.130,Unknown,0,0,0
128.199.128.54,Unknown,62,3,0
117.205.244.97,Unknown,65,0,0
37.76.195.57,Unknown,0,0,0
101.80.202.148,Unknown,0,0,0
197.59.191.29,Unknown,0,0,0
128.199.28.253,Unknown,63,2,0
151.246.150.172,Unknown,0,0,0
117.196.21.53,Unknown,58,7,0
112.239.70.70,Unknown,60,4,0
94.125.53.237,Unknown,0,0,0
79.9.120.141,Unknown,0,0,0
117.235.133.248,Unknown,0,0,0
36.237.20.249,Unknown,0,0,0
150.158.20.185,Unknown,58,9,0
59.93.23.123,Unknown,61,4,0
203.189.238.140,Unknown,0,0,0
89.43.98.86,Unknown,0,0,0
80.91.23.81,Unknown,0,0,0
117.211.252.41,Unknown,0,0,0
103.79.35.17,Unknown,63,1,0
175.150.147.68,Unknown,64,1,0
134.122.106.57,Unknown,64,0,0
151.246.14.48,Unknown,0,0,0
39.63.2.245,Unknown,0,0,0
59.89.165.48,Unknown,0,0,0
117.235.112.87,Unknown,0,0,0
85.236.187.20,Unknown,0,0,0
59.182.9.221,Unknown,0,0,0
220.173.209.130,Unknown,62,0,0
45.155.204.56,Unknown,59,6,3
151.238.176.207,Unknown,0,0,0
31.58.240.112,Unknown,0,0,0
37.16.75.169,Unknown,0,0,0
177.132.54.217,Unknown,0,0,0
44.201.240.110,Unknown,0,0,0
61.0.88.229,Unknown,0,0,0
5.43.213.54,Unknown,0,0,0
151.246.176.132,Unknown,0,0,0
79.55.108.124,Unknown,0,0,0
