ip,classification,Harmless,Malicious,Suspicious
80.41.238.203,malicious,0,0,0
198.235.24.47,malicious,0,0,0
87.236.176.211,malicious,0,0,0
188.250.226.14,malicious,0,0,0
124.234.155.92,malicious,0,0,0
210.192.89.133,malicious,0,0,0
118.131.101.123,malicious,61,3,3
45.83.64.204,malicious,0,0,0
184.105.139.94,malicious,62,1,0
137.184.217.189,malicious,0,0,0
107.170.250.22,malicious,0,0,0
103.233.68.209,malicious,0,0,0
37.41.142.69,malicious,0,0,0
122.129.112.220,malicious,0,0,0
144.126.238.244,malicious,0,0,0
43.158.216.231,malicious,0,0,0
196.2.8.42,malicious,59,7,0
35.90.32.211,malicious,63,1,0
206.189.107.172,malicious,63,2,0
185.38.150.80,malicious,0,0,0
138.68.153.47,malicious,0,0,0
36.67.150.145,malicious,0,0,0
205.210.31.137,malicious,61,1,1
195.95.200.81,malicious,62,2,0
103.149.192.10,malicious,0,0,0
167.99.112.43,malicious,0,0,0
182.124.74.250,malicious,0,0,0
109.125.160.233,malicious,0,0,0
87.236.176.12,malicious,64,1,0
205.210.31.215,malicious,0,0,0
198.235.24.239,malicious,0,0,0
195.20.137.129,benign,57,9,0
216.218.206.102,malicious,0,0,0
119.91.30.216,malicious,0,0,0
118.193.59.109,malicious,0,0,0
3.83.133.193,malicious,63,5,0
211.216.231.93,malicious,0,0,0
23.20.75.163,malicious,63,3,0
157.245.168.73,malicious,0,0,0
198.199.115.112,malicious,0,0,0
172.104.137.47,benign,52,15,3
64.227.182.224,malicious,62,4,0
198.199.108.29,malicious,0,0,0
185.49.106.59,malicious,63,1,1
93.157.191.219,malicious,0,0,0
180.149.125.172,malicious,0,0,0
124.234.136.54,malicious,60,4,0
184.163.11.58,malicious,59,5,1
196.32.110.168,malicious,64,1,0
198.235.24.85,malicious,58,5,1
128.1.248.26,malicious,60,6,2
45.15.19.146,malicious,60,5,2
107.170.250.24,malicious,60,4,1
185.180.140.6,malicious,60,5,1
106.75.24.22,malicious,0,0,0
159.203.192.23,malicious,0,0,0
177.75.222.67,malicious,62,1,0
184.105.139.110,malicious,65,1,0
87.236.176.48,malicious,0,0,0
59.125.64.23,benign,53,14,2
43.131.247.244,malicious,61,2,0
24.184.145.245,malicious,0,0,0
45.156.128.2,malicious,63,1,0
64.62.197.71,malicious,0,0,0
64.62.197.5,malicious,66,0,1
35.203.211.214,malicious,0,0,0
177.185.117.136,malicious,0,0,0
170.84.93.122,malicious,62,3,0
144.255.18.49,malicious,0,0,0
73.57.10.254,benign,53,13,1
106.75.133.48,malicious,0,0,0
106.75.164.14,malicious,0,0,0
157.119.249.95,malicious,0,0,0
205.210.31.55,malicious,0,0,0
101.0.33.91,malicious,0,0,0
46.98.206.15,malicious,0,0,0
64.62.197.195,malicious,63,1,0
216.158.236.226,malicious,0,0,0
170.254.73.242,malicious,65,1,0
192.241.192.21,malicious,0,0,0
162.243.133.38,malicious,63,3,0
192.241.239.40,malicious,62,2,0
95.214.53.99,malicious,0,0,0
65.49.1.97,malicious,0,0,0
162.142.125.11,malicious,62,3,2
185.150.237.43,malicious,0,0,0
80.78.128.120,malicious,0,0,0
185.233.19.148,malicious,63,2,0
184.105.247.212,malicious,61,3,0
